Social- og Indenrigsministeriets Kommunale N(ø)gletal;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kom.nr;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indbyggertal 1. januar;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guldborgsund Kommune;376;63.237;63.357;63.289;63.300;63.511;63.509;63.555;63.814;63.901;63.771;63.533;63.451;63.540;63.496;63.211;62.912;62.583;61.913;61.322;61.007;60.829;60.979;61.257;61.219;60.930;60.722
Vordingborg Kommune;390;44.617;44.920;44.970;45.259;45.211;45.376;45.565;45.760;45.983;46.192;46.307;46.410;46.485;46.600;46.551;46.319;46.170;45.804;45.465;45.295;45.471;45.806;46.037;46.087;45.816;45.566
Middelfart Kommune;410;33.935;34.097;34.351;34.616;34.805;34.974;35.167;35.370;35.587;35.759;36.113;36.417;36.771;37.274;37.625;37.661;37.701;37.612;37.523;37.685;37.857;37.913;38.093;38.210;38.553;38.853
Assens Kommune;420;40.460;40.597;40.735;40.703;40.780;40.869;41.055;41.226;41.141;41.109;41.201;41.369;41.816;42.054;42.128;42.054;41.635;41.443;41.325;41.037;41.046;41.224;41.390;41.328;41.212;40.965
Faaborg-Midtfyn Kommune;430;50.671;50.820;50.714;50.771;50.827;50.763;50.674;50.733;50.868;51.015;51.144;51.144;51.612;51.950;52.108;52.085;51.926;51.635;51.409;51.078;50.953;51.236;51.376;51.536;51.809;51.556
Kerteminde Kommune;440;22.322;22.491;22.477;22.656;22.886;22.855;23.000;23.010;23.026;23.067;23.071;23.239;23.524;23.630;23.745;23.770;23.758;23.793;23.787;23.665;23.728;23.880;23.774;23.756;23.773;23.812
Nyborg Kommune;450;29.799;30.302;30.367;30.411;30.421;30.361;30.343;30.522;30.530;30.778;31.009;31.208;31.508;31.607;31.714;31.690;31.499;31.486;31.350;31.314;31.573;31.886;32.142;32.032;32.042;32.009
Odense Kommune;461;182.617;183.564;184.146;184.224;183.584;183.912;183.691;183.628;184.308;185.206;185.871;186.595;186.745;186.932;187.929;188.777;190.245;191.610;193.370;195.797;197.480;198.972;200.563;202.348;204.182;204.895
Svendborg Kommune;479;57.394;57.729;57.858;57.946;57.985;57.928;57.808;57.931;58.145;58.301;58.354;58.506;58.714;59.040;59.185;58.998;58.713;58.551;58.296;57.979;57.988;58.228;58.510;58.698;58.599;58.296
Nordfyns Kommune;480;27.854;28.060;28.230;28.166;28.213;28.265;28.448;28.438;28.422;28.545;28.655;28.876;29.195;29.470;29.651;29.638;29.507;29.330;29.224;29.066;29.030;29.298;29.446;29.516;29.693;29.665
